,positions,eventName,goal,assist,key_pass,left_foot,right_foot
184,"[{'y': 100, 'x': 68}, {'y': 94, 'x': 66}]",Free Kick,False,False,False,False,False
185,"[{'y': 98, 'x': 69}, {'y': 98, 'x': 59}]",Pass,False,False,False,False,False
186,"[{'y': 89, 'x': 68}, {'y': 97, 'x': 68}]",Pass,False,False,False,False,False
187,"[{'y': 66, 'x': 74}, {'y': 62, 'x': 91}]",Others on the ball,False,False,False,False,False
188,"[{'y': 62, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
189,"[{'y': 74, 'x': 55}, {'y': 64, 'x': 62}]",Others on the ball,False,False,False,False,False
190,"[{'y': 75, 'x': 58}, {'y': 67, 'x': 67}]",Pass,False,False,False,False,False
191,"[{'y': 100, 'x': 47}, {'y': 97, 'x': 80}]",Free Kick,False,False,False,False,False
192,"[{'y': 59, 'x': 80}, {'y': 43, 'x': 88}]",Pass,False,False,False,False,False
193,"[{'y': 18, 'x': 58}, {'y': 36, 'x': 65}]",Pass,False,False,False,False,False
194,"[{'y': 66, 'x': 97}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
195,"[{'y': 69, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
196,"[{'y': 45, 'x': 78}, {'y': 68, 'x': 82}]",Pass,False,False,False,False,False
197,"[{'y': 6, 'x': 57}, {'y': 15, 'x': 57}]",Pass,False,False,False,False,False
198,"[{'y': 4, 'x': 57}, {'y': 21, 'x': 46}]",Pass,False,False,False,False,False
199,"[{'y': 93, 'x': 40}, {'y': 84, 'x': 39}]",Pass,False,False,False,False,False
200,"[{'y': 33, 'x': 81}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,True
201,"[{'y': 4, 'x': 62}, {'y': 29, 'x': 73}]",Others on the ball,False,False,False,False,False
202,"[{'y': 29, 'x': 73}, {'y': 34, 'x': 69}]",Pass,False,False,False,False,False
203,"[{'y': 48, 'x': 85}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
204,"[{'y': 49, 'x': 92}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,False
205,"[{'y': 57, 'x': 46}, {'y': 57, 'x': 47}]",Pass,False,False,False,False,False
206,"[{'y': 56, 'x': 89}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
207,"[{'y': 61, 'x': 43}, {'y': 49, 'x': 56}]",Pass,False,False,False,False,False
208,"[{'y': 63, 'x': 53}, {'y': 57, 'x': 70}]",Others on the ball,False,False,False,False,False
209,"[{'y': 57, 'x': 70}, {'y': 72, 'x': 80}]",Pass,False,False,False,False,False
210,"[{'y': 63, 'x': 80}, {'y': 54, 'x': 87}]",Pass,False,False,False,False,False
211,"[{'y': 38, 'x': 71}, {'y': 33, 'x': 90}]",Pass,False,False,True,False,False
212,"[{'y': 5, 'x': 73}, {'y': 23, 'x': 91}]",Others on the ball,False,False,False,False,False
213,"[{'y': 32, 'x': 95}, {'y': 66, 'x': 93}]",Pass,False,False,True,True,False
214,"[{'y': 9, 'x': 72}, {'y': 46, 'x': 92}]",Pass,False,False,False,False,False
215,"[{'y': 52, 'x': 58}, {'y': 47, 'x': 68}]",Pass,False,False,False,False,False
216,"[{'y': 77, 'x': 53}, {'y': 71, 'x': 26}]",Pass,False,False,False,False,False
217,"[{'y': 67, 'x': 51}, {'y': 48, 'x': 42}]",Pass,False,False,False,False,False
218,"[{'y': 74, 'x': 69}, {'y': 80, 'x': 69}]",Pass,False,False,False,False,False
219,"[{'y': 73, 'x': 87}, {'y': 21, 'x': 61}]",Pass,False,False,False,False,True
220,"[{'y': 22, 'x': 96}, {'y': 73, 'x': 94}]",Pass,False,False,False,False,True
221,"[{'y': 29, 'x': 74}, {'y': 29, 'x': 67}]",Pass,False,False,False,False,False
222,"[{'y': 29, 'x': 98}, {'y': 52, 'x': 95}]",Pass,False,False,False,True,False
223,"[{'y': 37, 'x': 48}, {'y': 54, 'x': 55}]",Pass,False,False,False,False,False
224,"[{'y': 53, 'x': 90}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,False
225,"[{'y': 66, 'x': 68}, {'y': 90, 'x': 85}]",Pass,False,False,False,False,False
226,"[{'y': 76, 'x': 61}, {'y': 59, 'x': 60}]",Pass,False,False,False,False,False
227,"[{'y': 56, 'x': 90}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,True
228,"[{'y': 51, 'x': 69}, {'y': 100, 'x': 100}]",Offside,False,False,False,False,False
229,"[{'y': 58, 'x': 92}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,False
230,"[{'y': 80, 'x': 74}, {'y': 65, 'x': 70}]",Pass,False,False,False,False,False
231,"[{'y': 11, 'x': 89}, {'y': 27, 'x': 72}]",Pass,False,False,False,False,False
232,"[{'y': 33, 'x': 91}, {'y': 32, 'x': 94}]",Foul,False,False,False,False,False
233,"[{'y': 55, 'x': 73}, {'y': 54, 'x': 85}]",Pass,False,False,False,False,False
234,"[{'y': 21, 'x': 65}, {'y': 22, 'x': 66}]",Pass,False,False,False,False,False
235,"[{'y': 89, 'x': 79}, {'y': 0, 'x': 0}]",Offside,False,False,False,False,False
236,"[{'y': 14, 'x': 74}, {'y': 25, 'x': 64}]",Pass,False,False,False,False,False
237,"[{'y': 71, 'x': 59}, {'y': 71, 'x': 65}]",Pass,False,False,False,False,False
238,"[{'y': 86, 'x': 77}, {'y': 92, 'x': 89}]",Pass,False,False,False,False,False
239,"[{'y': 100, 'x': 100}, {'y': 82, 'x': 81}]",Free Kick,False,False,False,False,False
