,positions,eventName,goal,assist,key_pass,left_foot,right_foot
137,"[{'y': 79, 'x': 52}, {'y': 86, 'x': 64}]",Pass,False,False,False,False,False
138,"[{'y': 75, 'x': 56}, {'y': 76, 'x': 66}]",Pass,False,False,False,False,False
139,"[{'y': 71, 'x': 71}, {'y': 50, 'x': 94}]",Free Kick,False,False,False,False,False
140,"[{'y': 66, 'x': 73}, {'y': 69, 'x': 80}]",Pass,False,False,False,False,False
141,"[{'y': 56, 'x': 85}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
142,"[{'y': 64, 'x': 62}, {'y': 79, 'x': 56}]",Pass,False,False,False,False,False
143,"[{'y': 73, 'x': 72}, {'y': 59, 'x': 82}]",Pass,False,False,False,False,False
144,"[{'y': 57, 'x': 43}, {'y': 65, 'x': 31}]",Pass,False,False,False,False,False
145,"[{'y': 49, 'x': 51}, {'y': 21, 'x': 44}]",Pass,False,False,False,False,False
146,"[{'y': 34, 'x': 55}, {'y': 29, 'x': 34}]",Pass,False,False,False,False,False
147,"[{'y': 97, 'x': 61}, {'y': 88, 'x': 60}]",Pass,False,False,False,False,False
148,"[{'y': 83, 'x': 59}, {'y': 88, 'x': 71}]",Pass,False,False,False,False,False
149,"[{'y': 75, 'x': 57}, {'y': 38, 'x': 60}]",Pass,False,False,False,False,False
150,"[{'y': 38, 'x': 78}, {'y': 55, 'x': 81}]",Pass,False,False,False,False,False
151,"[{'y': 72, 'x': 73}, {'y': 34, 'x': 91}]",Free Kick,False,False,False,False,False
152,"[{'y': 80, 'x': 85}, {'y': 72, 'x': 89}]",Pass,False,False,False,False,False
153,"[{'y': 64, 'x': 66}, {'y': 65, 'x': 88}]",Pass,False,False,False,False,False
154,"[{'y': 80, 'x': 77}, {'y': 63, 'x': 82}]",Pass,False,False,False,False,False
155,"[{'y': 54, 'x': 77}, {'y': 32, 'x': 75}]",Pass,False,False,False,False,False
156,"[{'y': 74, 'x': 45}, {'y': 86, 'x': 57}]",Pass,False,False,False,False,False
157,"[{'y': 73, 'x': 67}, {'y': 74, 'x': 70}]",Pass,False,False,False,False,False
158,"[{'y': 39, 'x': 77}, {'y': 28, 'x': 91}]",Pass,False,False,False,False,False
159,"[{'y': 75, 'x': 71}, {'y': 85, 'x': 76}]",Pass,False,False,False,False,False
160,"[{'y': 52, 'x': 29}, {'y': 50, 'x': 53}]",Others on the ball,False,False,False,False,False
161,"[{'y': 50, 'x': 53}, {'y': 77, 'x': 86}]",Pass,False,False,False,False,False
162,"[{'y': 53, 'x': 76}, {'y': 48, 'x': 70}]",Pass,False,False,False,False,False
